"Salary_Cap_Perc","pts","bird_rights","blk_pct","rookie_contract","US_Player","tov","efg_pct","ft_pct","pos_SG"
0.001375729,3.2,0,0.4,0,1,0.6,0.372,0.787,0
0.025311549,9.3,0,0.8,0,1,1,0.478,0.717,1
0.022729412,14,0,0.4,0,1,1.4,0.492,0.751,0
0.025659159,14.1,0,0.8,0,1,1.6,0.446,0.789,0
0.037547422,8.3,0,0.5,0,1,0.8,0.513,0.809,0
0.048310695,10.5,0,2.3,0,0,2.3,0.519,0.578,0
0.047966241,11.8,0,1.2,0,0,2.4,0.53,0.682,0
0.06284721,3.9,0,1.8,0,0,1,0.34,0.738,0
0.062061131,2.7,0,1.8,0,0,0.4,0.34,0.793,0
0.069902118,17.6,0,3.9,1,0,2.7,0.518,0.709,0
0.079304711,19,0,3.4,1,0,2.6,0.51,0.736,0
0.077942518,17.7,0,3.9,1,0,2.4,0.484,0.714,0
0.028759437,8.1,0,0.4,1,1,0.8,0.49,0.627,1
0.029154478,9.4,0,0.5,1,1,1.1,0.428,0.685,1
0.041189211,17.2,0,0.6,0,1,2.2,0.454,0.74,1
0.011929577,2.1,0,0,1,1,0.5,0.405,0.692,0
0.000927317,7.8,0,1.1,0,1,1.8,0.491,0.685,0
0.015708919,10.2,0,0.6,0,1,1.6,0.481,0.769,0
0.012725882,3.4,0,0.3,0,0,0.6,0.454,0.75,1
0.015207842,3.1,0,0.5,0,0,0.6,0.491,0.676,1
0.015708919,11.2,0,0.5,0,0,1.4,0.447,0.786,1
0.008677659,7.5,0,2.2,0,1,1.1,0.406,0.731,1
0.012857641,6.8,0,1.5,0,1,0.6,0.576,0.762,0
0.008677659,3.2,0,0.6,1,1,0.8,0.471,0.519,0
0.015967153,2.9,0,0.6,0,1,0.9,0.406,0.561,0
0.054007059,9,0,0.3,1,1,1.2,0.443,0.774,1
0.055602254,18.1,0,0.3,1,1,2.6,0.454,0.868,0
0.066593405,19.7,0,0.4,1,1,2.4,0.456,0.833,1
0.148266423,17.6,0,0.5,0,1,2.7,0.462,0.868,1
0.032456471,9.4,0,1.8,1,1,1.4,0.468,0.713,0
0.036821534,15.5,0,1.1,1,1,2,0.504,0.743,0
0.036183394,18.5,0,0.7,1,1,2.4,0.519,0.763,0
0.012857641,3.7,0,1.3,1,1,0.8,0.393,0.864,1
0.008677659,1.9,0,0,0,1,0.6,0.355,0.625,1
0.012857641,12.4,0,1,0,1,1.8,0.462,0.715,0
0.018152471,1.5,0,5.6,1,0,0.4,0.44,0.389,0
0.020236314,8,0,6.8,1,0,1,0.541,0.644,0
0.051837176,14.4,0,1.8,1,1,2,0.482,0.7,0
0.058806585,9.7,0,2.5,1,1,0.9,0.559,0.828,0
0.057788321,8.5,0,2.2,1,1,0.7,0.506,0.732,0
0.04548,10.2,0,3,1,1,1,0.476,0.847,0
0.046823662,17.3,0,2.7,1,1,1.6,0.489,0.81,0
0.056253259,21.2,0,2.1,1,1,1.9,0.5,0.851,0
0.25,19,0,2.4,0,1,2,0.474,0.851,0
0.008928704,8.2,0,0.6,0,1,1.7,0.47,0.719,0
0.013902353,3.9,0,0.9,0,1,1,0.423,0.706,0
0.022810219,18.1,0,0.5,0,1,2.8,0.483,0.785,0
0.008369776,5.9,0,0.4,1,1,1.7,0.478,0.821,0
0.088838824,18,0,0.7,0,1,4,0.493,0.786,0
0.091463662,19.9,0,0.7,0,1,3.3,0.506,0.817,0
0.081729882,21.6,0,0.7,0,1,3.9,0.451,0.773,0
0.108852052,21,0,0.9,0,1,3.7,0.468,0.8,0
0.25,16.6,0,0.8,0,1,3.7,0.436,0.775,0
0.089134648,4.9,0,4.3,0,1,0.8,0.451,0.603,0
0.080038588,11.8,0,4.3,0,1,1.8,0.48,0.711,0
0.090362792,9.7,0,4.8,0,1,1.5,0.481,0.722,0
0.10475406,9.4,0,5.6,0,1,1.1,0.47,0.725,0
0.045681569,7.1,0,0.1,1,1,2.5,0.391,0.816,0
0.022432023,3.3,0,2.4,1,1,0.5,0.534,0.647,0
0.022152372,10.3,0,1.9,1,1,1.5,0.507,0.766,0
0.019875345,15.5,0,0.1,1,0,2.4,0.503,0.755,0
0.019530109,14.7,0,0.2,1,0,2.4,0.48,0.702,0
0.021465328,1,0,0,1,1,0.1,0.429,0.5,0
0.007830988,8.7,0,1.5,0,1,1.3,0.473,0.763,1
0.014568408,5,0,1.7,0,1,0.6,0.47,0.787,1
0.030832941,5.9,0,1,1,1,1,0.424,0.776,0
0.03498001,11.7,0,0.8,1,1,1.4,0.453,0.841,0
0.077839059,6.1,0,5,1,1,1.4,0.497,0.604,0
0.086778285,6.1,0,4.1,1,1,1.1,0.424,0.669,0
0.034164706,6.7,0,1.5,1,0,1.2,0.506,0.681,0
0.038758412,10.1,0,0.9,1,0,1.4,0.488,0.706,0
0.054429176,18.7,0,0.5,0,0,2.2,0.544,0.831,0
0.07283621,17.6,0,0.9,0,0,1.7,0.523,0.867,0
0.008369776,6.9,0,0.5,1,1,1.1,0.427,0.728,1
0.094606752,17.5,0,4.5,1,0,2.5,0.522,0.809,0
0.023983059,2.8,0,1.3,1,1,0.4,0.449,0.667,0
0.027208661,8.4,0,0.8,1,1,0.8,0.513,0.758,0
0.026737226,20.1,0,1,1,1,3,0.485,0.761,0
0.008369776,3.3,0,1.3,1,0,0.6,0.389,0.644,0
