"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.051976346,1.1,1,0,21,1.2,1.1,77,0,0,0.606,3.4,4.8,1.6,0.1,0,9.6,-1.2
0.092296878,8.5,1,0,21,8.5,0.5,82,1,0,0.549,8.8,12.1,3.1,3.8,0,27.3,2.6
0.09873682,8.5,1,0,22,7.1,0.7,66,1,0,0.557,7.6,10.9,3.3,3.2,0,26.6,3.7
0.280193937,9,0,1,24,8.4,0.6,80,1,1,0.583,7.1,9.5,3.3,3.9,0,29,4.5
0.012762912,2,0,0,25,0.3,0,45,1,0,0.441,0.6,0.8,0.9,2,1,25.4,-5.3
0.001239594,0,0,0,30,0,0,2,1,0,0,0,0,1,1,0,8.6,-11.8
0.010248019,1,0,0,31,0.3,0.1,28,1,0,0.43,1.4,2,1.5,0.4,0,11.4,-3.6
0.155979203,4.5,0,0,27,1.8,0.7,82,0,0,0.552,3.6,5.2,2.7,4,0,16.2,0.8
0.155054786,4.6,0,0,28,1.5,0.6,82,0,0,0.558,3.8,5,2.3,4.1,0,16.8,0.6
0.155054786,2.7,0,0,29,0.6,0.4,57,0,0,0.498,3.7,4.9,2.2,3.6,0,15.5,-1.8
0.080139403,3.8,0,0,31,1.2,0.4,79,0,0,0.578,3.2,4.1,1.8,2.8,0,17,1.3
0.071209427,5,1,0,19,2.8,0.5,56,1,0,0.515,3,3.8,2,2.4,0,22.2,0.2
0.073608616,6.6,1,0,20,2.6,0.2,73,1,0,0.507,3,3.7,2.1,3.3,0,24.3,-0.4
0.058543036,1.6,1,0,23,0.8,0.5,37,1,0,0.54,1.6,2.4,0.9,0.3,0,17.2,-1.4
0.085209359,3.9,0,0,26,1.8,0.9,58,1,0,0.695,2.4,4.2,1.6,0.5,0,17.4,3.4
0.06932409,2.4,0,0,24,1.3,0.5,50,1,0,0.556,1.5,2.5,1.4,0.4,0,20.9,-0.6
0.068913238,4.4,0,0,25,3.1,0.7,76,1,0,0.571,3.8,5.6,2.1,0.8,0,19.8,0.2
0.073220316,5.1,0,0,26,2.8,0.9,59,1,0,0.524,4.6,6.2,2.3,0.9,0,19.8,-1
0.037582669,5.5,0,0,20,3.3,0.2,82,1,0,0.475,2.8,3.4,2.3,5.7,1,26.1,0.7
0.040161257,5.7,1,0,21,3.9,0.3,63,1,0,0.493,3,3.7,2.1,4.8,1,25.5,1.6
0.04296258,7.1,1,0,22,3.6,0.3,66,1,0,0.514,2.7,3.4,1.7,5.5,1,25.9,2.7
0.05477729,6.2,1,0,23,3.5,0.1,80,1,0,0.51,2.3,3.1,1.9,6.5,1,23.7,1.1
0.130464101,5.3,0,1,24,4,0.1,80,1,0,0.486,2.3,3.1,2,7.6,1,23.4,0.1
