"Salary_Cap_Perc","pts","rookie_contract","drb","age","bird_rights","g","tov","US_Player","ft_pct","stl","ast","blk","ts_pct","pos_PG","fta","ws","vorp","orb","orb_pct","ast_pct","blk_pct","pos_PF"
0.054650596,3.5,0,1.1,30,0,39,0.3,1,0.889,0.2,0.5,0.3,0.558,0,0.5,1.1,0.1,0.2,1.8,5.3,1.6,0
0.008055798,3.4,1,0.9,18,0,23,0.4,1,0.75,0.3,0.7,0.1,0.456,1,1,0.3,0,0.8,10.7,14.3,0.8,0
0.013852418,5,0,1,20,0,60,0.5,1,0.788,0.5,0.9,0.1,0.574,0,0.9,1.9,0.5,0.3,2.9,11.5,0.9,0
0.063053851,9.1,0,1.7,21,0,72,0.9,1,0.876,0.6,1.5,0.2,0.546,0,1.2,2.9,0.2,0.6,3.3,10.4,0.7,0
0.012125375,9.5,0,2,24,0,77,1.2,1,0.87,1.2,2.7,0.1,0.564,1,2.5,3.3,0.7,0.5,2.3,16.2,0.1,0
0.007678645,8.1,1,2.6,24,0,42,0.6,1,0.661,0.4,0.5,0.2,0.641,0,2.6,3.7,0.6,2.3,15.5,5.2,0.7,1
0.051124744,9.2,0,3.2,25,0,69,1,1,0.813,0.4,0.6,0.4,0.634,0,2.8,5.9,1,1.8,10.3,4.6,1.5,1
0.091178482,6.6,0,1.1,25,0,70,1.5,0,0.799,0.6,4,0.1,0.466,1,2.1,1.3,-0.3,0.4,2.1,32.3,0.2,0
0.077161946,7.7,0,1.4,27,0,72,1.3,0,0.795,0.5,2.8,0,0.501,1,2.3,2.5,0.4,0.4,3,27.1,0.1,0
0.07370124,6.9,0,1.7,28,0,62,1.2,0,0.853,0.4,3.5,0,0.547,1,1.6,2.8,0.3,0.2,0.9,26.6,0.1,0
0.25,17.8,0,6.2,23,0,51,2.7,0,0.698,0.8,2.8,0.5,0.56,0,5.3,4.1,1.5,2.8,9.6,15.9,1.1,1
0.234218505,16.3,0,6.4,24,0,33,2.1,0,0.723,0.9,2.7,0.2,0.585,0,4.2,3.5,1.1,2.2,8.6,18,0.6,1
0.211922142,20.9,0,8.5,25,0,74,2.6,0,0.685,0.9,3,0.3,0.588,0,5,9.9,4.3,3.2,11.2,16.6,0.7,1
0.202417455,21.1,0,8,26,0,81,2.6,0,0.738,1.2,2.9,0.5,0.581,0,4.9,10.2,3.5,2.4,8.6,14.2,1.2,1
0.197576977,16.2,0,7.4,27,0,37,2.1,0,0.698,1.1,2.1,0.2,0.523,0,3.8,2.6,0.4,3,11.1,11.4,0.5,1
0.020558924,3.9,1,1.4,22,0,30,0.8,0,0.575,0.7,1.3,0.2,0.431,0,1.3,0.5,-0.1,0.4,3.3,13.3,1,0
0.019521596,5.2,1,2.4,24,0,82,0.7,0,0.787,0.6,1.1,0.1,0.515,0,1.1,2.9,0.7,0.8,5.8,10.2,0.5,0
0.033581539,9,1,3.6,25,0,82,0.9,0,0.744,0.8,1.8,0.1,0.527,0,1.9,4,1.2,0.8,4,11.3,0.5,0
0.079128334,20.8,1,3.8,20,0,75,3,1,0.796,0.9,2.6,0.4,0.526,0,7.6,4.9,0.5,1.9,6.3,13.1,0.9,0
0.08834179,28.9,1,3.8,22,0,65,3.6,1,0.808,1.2,3.8,0.4,0.552,0,8.7,7.3,2.5,2.2,6.6,19.2,0.7,0
0.234428366,25.7,0,5.1,23,1,77,3.3,1,0.786,1.3,3.4,0.5,0.568,0,7.7,8.2,2.5,2.3,7,16.1,1,0
0.24557909,22.8,0,5.2,24,1,66,3,1,0.793,1.1,3.4,0.4,0.532,0,7.1,5,1.5,1.6,5.6,18.1,0.8,0
0.049729636,17.6,1,4.7,25,0,75,2.3,1,0.87,1.7,2.5,0.2,0.535,0,4.4,6.3,1.7,1.5,4.8,12.1,0.5,0
0.003412611,2.6,0,0.8,24,0,33,0.3,1,0.8,0.2,0.4,0.1,0.489,0,0.8,0.4,-0.1,0.2,3.3,8,1.2,0
0.043756469,9.5,1,4.2,23,0,72,1.4,1,0.787,0.5,0.9,0.6,0.464,0,1.5,0.9,-0.9,1.3,5.8,6.2,1.8,1
0.044710408,6.8,1,3.2,24,0,78,0.7,1,0.78,0.4,0.7,0.3,0.529,0,1.4,3.2,0.1,1.4,9.4,7.4,1.6,0
0.053915627,4.2,1,1.6,25,0,63,0.5,1,0.722,0.3,0.4,0.3,0.465,0,0.6,0.8,-0.4,0.7,6.7,5.3,1.7,1
0.012964606,8.4,0,1.7,26,0,59,0.7,1,0.708,1,2.2,0.1,0.55,0,1.5,3.3,0.9,0.4,1.9,16.6,0.3,0
0.01401244,13.5,0,2.2,27,0,82,1.3,1,0.78,1.2,3,0,0.53,0,2,4,0.5,0.7,2.3,13.6,0.1,0
0.055725328,7.6,0,2,28,0,68,1.1,1,0.805,0.8,3.1,0,0.49,0,1.3,1.3,-0.2,0.5,2.1,19.9,0.1,0
0.057165644,8.4,0,1.5,29,0,70,1.1,1,0.825,0.7,2.2,0.1,0.525,0,1.1,2.2,0.2,0.5,2,13.3,0.3,0
0.047762868,11.8,1,4.3,22,0,39,1.4,1,0.82,0.6,0.9,0.3,0.547,0,2.3,1.7,0.2,1.6,7.3,6.1,0.9,1
0.048804602,11.7,1,4.2,23,0,76,1.4,1,0.783,0.4,1,0.5,0.502,0,2.1,1.7,-0.3,1.9,8.9,7.5,1.5,1
0.058760225,16.2,1,4.7,24,0,78,1.8,1,0.838,0.6,1.8,0.7,0.529,0,3.1,4.9,1.6,2,8.3,12.4,2.2,1
0.036471393,7.7,0,4.1,26,0,67,1,1,0.689,0.2,1.1,1.5,0.581,0,2.8,4.5,1.3,2,10.9,9.1,5.6,0
0.070707071,5,0,2.9,27,0,32,0.8,1,0.476,0.3,0.2,1.3,0.562,0,3.2,1.3,0.1,1.9,12.4,1.7,5.9,0
0.017014281,6.4,0,3.9,30,0,71,1,1,0.718,0.6,0.4,2.5,0.608,0,2.5,5.4,1.5,2.3,13.4,3.2,9.3,0
0.07134078,16.8,1,6.5,20,0,81,2.3,1,0.76,0.9,1.9,1.4,0.547,0,6.7,6.8,1.4,2.4,7.1,8.6,2.7,1
0.067636364,22.5,1,6.3,21,0,70,2.2,1,0.816,0.7,2.6,1.1,0.585,0,8.3,9.8,3.4,2.9,8.7,11.8,2.3,0
0.079706785,22.6,1,8,22,0,69,2.6,1,0.785,0.6,2.5,1.3,0.577,0,8.6,9.6,3.1,2.7,8.1,11.7,2.6,0
0.223889987,22.3,0,6.1,23,1,67,2.3,1,0.844,0.9,2.6,1,0.588,0,8.3,10.1,3.9,2.6,8.4,12.1,2.2,0
0.24557909,22.7,0,7.2,24,1,77,2.3,1,0.817,0.9,2.5,1,0.569,0,8,9.7,3.5,2.8,8.7,11.6,2,0
0.007539383,4.9,1,0.8,22,0,44,0.7,1,0.823,0.3,1.2,0.2,0.531,0,1.4,0.6,-0.1,0.3,2.8,14.8,1,0
0.056565657,8.7,0,2.6,23,0,74,1.6,1,0.818,0.9,5,0,0.538,1,1.9,5.2,1.5,0.4,1.5,26.4,0.1,0
0.05691164,7.2,0,1.9,24,0,78,1.3,1,0.752,0.9,4,0.1,0.529,1,1.3,4.8,1.2,0.3,1.4,24.4,0.2,0
0.058385763,5.8,0,1.5,25,0,66,1.1,1,0.813,0.7,4,0,0.508,1,1.2,2.3,0.1,0.3,1.4,26.5,0.1,0
0.058678824,9.1,1,4.6,22,0,63,1.8,1,0.661,0.4,1.2,1.1,0.522,0,1.9,2.1,-0.2,2.1,10.2,7.7,3.1,0
0.065715028,10.1,1,5.7,24,0,75,2,1,0.741,0.5,1.1,1.5,0.502,0,3,2.9,-0.5,2.1,8.9,6.1,4.1,0
0.154592846,15.7,0,9.6,25,0,56,2.9,1,0.762,0.6,1.9,2.8,0.538,0,4.7,3.6,1.2,3.1,9.5,9.3,5.6,0
