"Salary_Cap_Perc","pts","bird_rights","maximum_contract","age","gs","drb","three_p_pct","pf","mp","rookie_contract","super_max_contract","pos_C","pos_PF","fta","fga","US_Player","pos_PG","ast","ast_pct","trb_pct","stl","stl_pct","ft_pct","three_pa","tov_pct","usg_pct"
0.012981968,2,0,0,23,1,1.9,0.375,0.7,6.9,1,0,0,1,0.6,1.7,1,0,0.4,7.7,22.3,0.2,1.2,0.7,0.5,17.3,15
0.013668437,3.3,0,0,22,9,1.3,0.353,1.5,13.4,1,0,0,0,0.3,3,1,0,0.8,8.1,5.7,0.4,1.4,0.75,1.7,8.6,11.5
0.013532514,10.3,0,0,23,8,2.3,0.393,2.4,26,1,0,0,0,1.4,8.4,1,0,1.2,7.2,5.6,0.8,1.5,0.867,3.5,8.1,16.4
0.196509565,10.7,0,0,24,7,2.6,0.444,2.2,28.5,0,0,0,0,1.6,8.2,1,0,1.2,6.1,5.6,0.7,1.2,0.847,3.8,8.1,14.9
0.195094507,13.2,0,0,25,68,3.9,0.378,2.2,29.3,0,0,0,0,1.8,11,1,0,1.6,8.4,7.8,0.6,1,0.852,7.1,8.1,19
0.181605788,9.6,0,0,26,20,3.1,0.378,2.4,26.3,0,0,0,0,1.3,8.7,1,0,1.1,5.8,6.9,0.5,1,0.732,6,10.4,16.4
0.033199501,10.9,0,0,23,3,2.6,0.394,1.8,22.8,0,0,0,0,3.5,8.1,1,0,1.9,12.9,7.1,0.4,0.9,0.803,2.1,15.8,21.5
0.032537108,6.5,0,0,24,1,1,0.358,1.2,12.1,0,0,0,0,1.8,4.4,1,0,1.2,14.8,5.3,0.1,0.5,0.791,2.2,15,21.4
0.016861714,4.5,0,0,27,2,1.1,0.371,1.1,12.3,0,0,0,0,1.4,3.4,1,0,0.5,5.8,7.7,0.6,2.7,0.701,0.6,13,16.7
0.019642857,4.5,0,0,28,38,2.5,0.283,2.3,22.4,0,0,0,0,0.9,3.5,1,0,1,6.2,8.3,0.9,1.9,0.667,0.8,16.2,9.2
0.007701102,11.5,0,0,32,15,3.7,0,2.7,21.1,0,0,0,1,3.2,8.3,1,0,0.8,6.8,15.1,0.5,1.2,0.72,0.1,12,23.8
0.021416957,5.8,0,0,33,36,3,0,1.8,14.7,0,0,1,0,1.3,4.3,1,0,0.5,5.6,16.5,0.3,1.2,0.746,0,15.8,17.8
4.65e-05,2.3,0,0,25,0,1.3,0,0.7,5.7,0,0,0,1,0.7,1.3,1,0,0.3,6.4,16.5,0.3,2.2,0.875,0,4.9,13.1
0.013925701,0.8,0,0,26,0,0.7,0,0.4,4.1,0,0,0,1,0.8,0.8,1,0,0.2,7.2,16.7,0.1,0.7,0.357,0,13,13.5
0.000465017,3.2,0,0,22,1,0.7,0.316,1.1,8.8,0,0,0,0,0.6,3,1,0,0.8,12.3,5.2,0.3,1.5,0.545,1.1,12,17.6
0.110996591,9.3,1,0,27,72,4,0.413,3,26.4,0,0,0,1,1.7,6.9,1,0,1.6,9.4,13.3,0.6,1.1,0.612,0.6,16,15.7
0.171428571,7.3,0,0,28,76,4.1,0.233,2.7,22.8,0,0,0,1,1.5,5.4,1,0,1.7,11.4,14.9,0.7,1.4,0.57,0.5,16.4,13.6
0.127465664,6.5,0,0,29,77,3.1,0.409,2.6,20.1,0,0,0,1,1.3,4.6,1,0,1.8,13,12.7,0.6,1.6,0.67,0.8,15.7,13.6
0.111006832,4.6,0,0,30,18,2.8,0.313,2.6,15.8,0,0,1,0,1.1,3.5,1,0,1.6,13.9,15.2,0.6,1.8,0.612,0.4,15.6,12.8
0.023499661,3.9,0,0,31,6,2,0.3,1.9,10.4,0,0,1,0,0.8,3.1,1,0,1.2,16,14.7,0.3,1.4,0.756,0.8,20.5,17.4
0.153882423,9.8,0,0,32,26,4.3,0,2.2,24.5,0,0,1,0,1.7,7.7,0,0,1.3,9.1,15.3,0.7,1.6,0.733,0.1,13.7,18.1
0.137693629,2.6,0,0,33,0,2,0,1.3,9.4,0,0,1,0,0.9,2.3,0,0,0.7,9.8,15.8,0.3,1.6,0.64,0,13.1,15
0.040725601,13.8,0,0,21,82,8.1,0,3.5,30.5,1,0,1,0,4.5,11.7,1,0,0.7,3.9,24,0.9,1.5,0.389,0,9.7,22
0.046744157,16.2,0,0,22,81,9.9,0.333,3,32.9,1,0,1,0,7.2,13.1,1,0,0.8,4.4,24.5,1.5,2.3,0.355,0.1,10.5,24.1
0.234927185,13.6,1,1,23,81,9.5,0.286,2.9,29.7,0,0,1,0,4.4,11.2,1,0,1.1,6,25.2,1.5,2.6,0.386,0.1,12.5,22.4
0.239931236,15,1,1,24,78,10.9,0,3.2,33.7,0,0,1,0,5.1,11.3,1,0,3,14.3,26.2,1.5,2.2,0.605,0.1,15.9,21.2
0.249676182,17.3,1,1,25,79,10.2,0.132,3.4,33.5,0,0,1,0,5.2,13.3,1,0,1.4,7.2,25.4,1.7,2.5,0.59,0.5,12.4,22.9
0.167292229,7,1,0,32,1,3.2,0.351,1.6,26.6,0,0,0,0,1.3,5.7,1,0,3.4,16.3,8.2,1.1,2,0.614,2.4,16.3,12.1
0.118238934,7.6,1,0,33,0,3.3,0.362,1.3,26.3,0,0,0,0,1.3,5.5,1,0,3.4,16.7,8.3,1,1.8,0.706,2.3,11.2,11.2
